Time,X,Y,Z
4.46859,1.00266,-1.00946,-0.05278
4.47581,1.01027,-0.94243,0.03336
4.48330,1.01265,-0.96999,-0.04155
4.49117,1.00993,-0.94610,-0.01191
4.50249,0.99699,-0.90239,-0.09046
4.51349,0.93170,-0.91386,-0.07461
4.52082,0.94836,-0.92571,-0.09156
4.52813,1.05583,-0.95755,-0.07139
4.53551,1.09241,-0.95861,-0.08768
4.54296,1.00774,-0.92250,-0.03333
4.55064,1.03316,-0.90390,-0.06664
4.55871,1.05118,-0.91237,-0.08449
4.56668,1.03698,-0.94835,-0.05527
4.57428,1.02235,-0.88819,-0.09806
4.58180,1.05953,-0.90955,-0.07432
4.58930,1.05559,-0.93139,-0.06760
4.59663,1.11713,-0.93246,-0.07314
4.60400,1.16079,-0.94019,-0.07566
4.61155,1.11859,-0.94380,0.00504
4.61931,1.09116,-0.93923,-0.10256
4.62745,1.11584,-0.98607,-0.04459
4.63591,1.08610,-0.90562,-0.01069
4.64393,1.05862,-0.87721,0.04536
4.65151,1.08724,-0.95990,-0.03707
4.65922,1.06241,-0.89671,-0.04204
4.67084,1.16181,-0.88633,0.00309
4.68251,1.13140,-0.92553,-0.04907
4.69053,1.15789,-0.90156,-0.02658
4.69860,1.12993,-0.92061,-0.11845
4.70671,1.12881,-0.92426,-0.05356
4.71878,1.12535,-0.82297,0.00746
4.73068,1.03814,-0.85853,0.05797
4.73866,1.19670,-0.83854,0.02238
4.74666,1.13089,-0.82349,-0.07977
4.75464,1.18346,-0.73603,0.03968
4.76276,1.16715,-0.81968,-0.04814
4.77481,1.13576,-0.75841,-0.09725
4.78672,1.15724,-0.75591,-0.05418
4.79444,1.18804,-0.72036,-0.01828
4.80184,1.16517,-0.70311,-0.04027
4.80924,1.10032,-0.68633,0.05749
4.81653,1.12658,-0.64385,-0.00528
4.82363,1.22452,-0.67296,-0.02587
4.83026,1.20761,-0.67589,-0.03311
4.83657,1.19384,-0.67144,-0.20180
4.84631,1.19631,-0.64856,-0.07170
4.85626,1.20650,-0.58199,-0.03006
4.86240,1.11796,-0.51533,-0.07643
4.87088,1.15075,-0.55815,-0.04901
4.87979,1.16945,-0.54424,-0.06697
4.88618,1.22020,-0.55379,-0.00343
4.89273,1.29226,-0.53240,-0.01775
4.90243,1.15747,-0.42990,0.05305
4.91198,1.17997,-0.39287,0.06278
4.91836,1.21608,-0.35549,-0.04024
4.92794,1.18075,-0.34245,-0.03985
4.93763,1.17375,-0.33537,-0.02079
4.94452,1.19538,-0.35823,-0.01200
4.95108,1.18784,-0.31188,-0.03346
4.95729,1.19827,-0.31265,-0.00828
4.96703,1.18470,-0.26393,-0.01979
4.97652,1.18518,-0.24460,-0.01982
4.98251,1.23456,-0.25294,-0.03084
4.98876,1.19685,-0.19372,-0.02621
4.99801,1.25628,-0.15133,-0.03332
5.00702,1.16516,-0.11871,-0.00643
5.01520,1.16385,-0.14112,0.06714
5.02327,1.19706,-0.08713,-0.00177
5.03154,1.11224,-0.03683,0.07348
5.03983,1.17315,-0.07109,0.00968
5.04825,1.19815,-0.07387,-0.05532
5.05669,1.22549,-0.07990,-0.03222
5.06235,1.20884,-0.03968,-0.01252
5.06983,1.21165,0.03561,0.00258
5.07946,1.22474,0.05168,-0.01878
5.08699,1.15648,0.12230,-0.03875
5.09495,1.15902,0.13008,0.02977
5.10283,1.12732,0.20617,-0.10776
5.11049,1.15632,0.19483,-0.01242
5.11839,1.18431,0.16951,-0.01453
5.12649,1.14574,0.23537,0.00330
5.13439,1.21210,0.10742,0.03751
5.14208,1.20087,0.19187,0.05619
5.14987,1.01301,0.35226,-0.03610
5.15784,1.10439,0.28923,0.04789
5.16608,1.22413,0.29585,-0.03482
5.17412,1.16620,0.37372,-0.06345
5.18206,1.20007,0.35314,-0.05371
5.18991,1.13434,0.42794,-0.00240
5.20011,1.17732,0.41439,-0.01834
5.20798,1.17490,0.43948,0.09832
5.21565,1.09033,0.52242,-0.00425
5.22319,1.12236,0.52328,-0.01534
5.23011,1.09880,0.52003,0.06693
5.23870,1.17841,0.54059,0.03723
5.24719,1.20695,0.56966,0.03375
5.25542,1.15154,0.56275,0.05261
5.26394,1.13196,0.60835,0.07500
5.27242,1.10040,0.62747,0.11157
5.27861,1.12569,0.56393,0.00515
5.28690,1.08810,0.58785,0.02261
5.29521,1.08485,0.60989,0.12448
5.30179,1.10649,0.58745,0.04192
5.31078,1.10446,0.64447,0.04413
5.32012,1.06538,0.69052,-0.02387
5.32730,1.09859,0.70167,-0.01579
5.33468,1.14410,0.72810,0.03755
5.34227,1.14557,0.66942,-0.01592
5.34996,1.12064,0.72270,0.00627
5.35773,1.10958,0.70886,0.01589
5.36533,1.02787,0.78997,0.01379
5.37457,1.04750,0.77811,0.06718
5.38287,1.02206,0.80529,0.08576
5.39116,1.07327,0.76786,0.03796
5.39939,1.04461,0.79153,0.04543
5.40757,1.06460,0.77500,-0.00478
5.41629,1.04517,0.82835,0.00497
5.42294,1.16588,0.76184,0.05244
5.42970,1.11381,0.82313,0.05823
5.43818,1.08927,0.82389,0.04305
5.44631,1.04554,0.85608,0.04160
5.45440,0.97406,0.91684,0.01034
5.46225,1.00114,0.89181,0.01416
5.47053,1.00726,0.89313,0.05005
5.47903,0.97478,0.95001,0.04394
5.48687,0.96450,0.95800,0.06120
5.49450,0.95783,0.94424,0.06697
5.50184,0.96671,0.91755,0.00281
5.51099,1.01877,0.87017,-0.04337
